Ano Letivo;Nome;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP
2022;Aluno-1;Quartzo;5,8;4;8,3;4,1;5,6;4;7,3;5;8,3
2022;Aluno-112;Ametista;7,8;4;7,9;7,8;6,3;8,5;8,8;5;8,6
2022;Aluno-106;Ametista;8;4;9,2;8;9,4;7,4;8,4;5;8,8
2022;Aluno-105;Ágata;6,8;4;7,9;8,2;5,6;6,7;7,4;2,5;7,4
2022;Aluno-267;Ágata;6;4;10;7,4;5;3,3;6,3;5;6
2023;Aluno-40;Ametista;7,2;4;7,5;8,2;7,5;5,9;7,8;5;8
2022;Aluno-93;Topázio;8,9;4;8,3;9,7;8,1;8,5;9,1;10;8
2022;Aluno-92;Ágata;7;4;9,2;7,1;5;7,4;6,7;5;8,4
2022;Aluno-91;Ágata;6,6;4;9,2;5,7;5,6;6,6;7,1;5;7,4
2023;Aluno-193;Ametista;7,7;4;8,3;9,4;2,5;6,5;8,2;10;8,1
2023;Aluno-178;Ametista;7,4;4;7,9;8,7;2,5;5,9;8,4;10;7,7
2022;Aluno-86;Ametista;7,6;4;7,5;9,6;5,6;6,7;8,5;5;8,3
2022;Aluno-405;Quartzo;5,7;3;9,5;6,2;5;3,3;6;5;6,5
2023;Aluno-336;Quartzo;5,9;4;0;7,5;6,9;5,1;7,3;5;7,3
2023;Aluno-91;Ametista;7,4;4;10;7,4;6,9;7,4;7,5;5;7,8
2023;Aluno-92;Ametista;7,4;4;9,6;9,4;5,6;6,7;7;5;7,2
2022;Aluno-119;Ametista;7,5;4;8,3;8,2;5,6;5,4;7,9;10;8,1
2022;Aluno-124;Ametista;7,4;4;7,9;7,8;5;6,7;7,2;10;7,7
2023;Aluno-497;Quartzo;5,7;3;5,3;8,7;2,5;3,5;6,9;5;6,2
2023;Aluno-241;Ametista;7;4;0;9,9;2,5;7,5;9,5;5;8,8
2023;Aluno-106;Ametista;7,8;4;7,9;9,1;5;7,3;7,5;10;7
2022;Aluno-193;Topázio;8,2;4;9,2;8,9;5,6;6,7;8,5;10;9
2022;Aluno-178;Ágata;7;4;0;8,8;4,4;6,3;8,5;10;8,4
2023;Aluno-112;Ametista;7,1;4;6,7;8,1;5;7,4;7,9;5;8
2023;Aluno-267;Ágata;5,6;4;7,9;7,7;5;2,7;6,5;5;4,7
2023;Aluno-245;Ametista;7,2;4;0;10;2,5;8,1;9,6;5;8,8
2023;Aluno-131;Quartzo;6;4;8,3;7,8;5;2,2;6,8;5;7,7
2023;Aluno-27;Ametista;7,9;4;6,7;7,7;6,9;6,9;8,9;10;8,6
2023;Aluno-133;Ágata;6,2;4;7,5;7,9;2,5;5,3;6,5;5;7,2
2023;Aluno-137;Quartzo;5,9;4;7,1;6,3;2,5;6;6,9;5;6,4
2022;Aluno-138;Ágata;6,7;4;9,6;8;5,6;5,6;6,4;5;6,8
2022;Aluno-137;Ametista;7,1;4;7,5;8,9;5;7,3;7,8;2,5;8
2022;Aluno-241;Topázio;8,5;4;10;10;7,5;7,7;9,1;5;8,9
2022;Aluno-133;Ágata;6,9;4;7,9;7,1;7,5;5,6;7,6;5;8
2022;Aluno-131;Ametista;7,2;4;8,8;9;5,6;5,6;7,8;5;7,8
2022;Aluno-245;Topázio;8,7;4;10;9,9;7,5;8,4;9,2;5;9,5
2023;Aluno-138;Ágata;6,8;4;10;7,9;6,3;4,3;7,4;5;7,3
2022;Aluno-40;Ametista;7,2;3;7,9;7,8;7,5;6,8;7,8;5;6,8
2022;Aluno-497;Ágata;6,3;3;6,9;9,2;5;5,1;5,8;5;5,9
2022;Aluno-11;Quartzo;5,3;4;9,2;4,2;5;3;6,4;5;6,6
2022;Aluno-34;Ágata;6,3;4;9,6;4,8;8,1;3,8;7,3;5;8,5
2023;Aluno-34;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2023;Aluno-13;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2023;Aluno-93;Ametista;7,4;0;7,9;8,5;3,1;6,2;8;10;7,8
2023;Aluno-119;Ametista;7,2;0;6,7;8,9;2,5;6,8;7,9;10;7,9
2022;Aluno-5;Ametista;7,4;4;7,9;8,6;5,6;5,2;7,4;10;8,1
2022;Aluno-13;Ágata;6,9;4;7,9;7,4;7,5;4,7;8,1;5;8,2
2022;Aluno-336;Ágata;6,8;3;9,5;8,5;4,4;5,1;7,9;5;6,1
2023;Aluno-1;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2022;Aluno-3;Ágata;6,6;4;0;7,9;5,6;5,6;7,6;10;8,2
2022;Aluno-27;Ametista;7,1;4;0;7,6;8,1;8;9,1;5;8,5
2023;Aluno-86;Ametista;8,1;0;8,3;8,7;6,9;7,1;7,7;10;7,9
2023;Aluno-5;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2023;Aluno-2;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2022;Aluno-240;Ágata;6,9;4;7,1;8,1;5;4,7;7;10;7,3
2023;Aluno-81;Ametista;7,5;4;9,6;8,8;2,5;6,3;7,2;10;7,8
2022;Aluno-340;Ametista;7,7;3;9;8,2;7,5;6,5;7,7;10;5,7
2023;Aluno-202;Ágata;6,8;4;8,8;7,9;2,5;5,9;8;5;8
2022;Aluno-123;Ametista;7,1;4;7,9;8,6;5,6;6,5;7,3;5;7,7
